Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Third,Chrome 114.0.0.0,,,2023-07-19 14:08:34,2023-07-19 14:09:22,47.156s,PASSED
,,,,,,,
Test Cases/Login,Chrome 114.0.0.0,,,2023-07-19 14:08:35,2023-07-19 14:09:22,46.449s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-19 14:08:36,2023-07-19 14:08:43,7.312s,PASSED
"navigateToUrl(""https://v3-test-11.screenpal.com/"")",Chrome 114.0.0.0,,,2023-07-19 14:08:43,2023-07-19 14:08:45,2.147s,PASSED
"click(findTestObject(""Object Repository/Page_ScreenPal (Formerly Screencast-O-Matic_a228d3/a_Log In""))",Chrome 114.0.0.0,,,2023-07-19 14:08:45,2023-07-19 14:08:49,3.328s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_ScreenPal - Welcome Back - selenium-br_82accc/input_Email_email""))",Chrome 114.0.0.0,,,2023-07-19 14:08:49,2023-07-19 14:08:49,0.769s,PASSED
"setText(findTestObject(""Object Repository/Page_ScreenPal - Welcome Back - selenium-br_82accc/input_Email_email""), ""testing@screencast-o-matic.com"")",Chrome 114.0.0.0,,,2023-07-19 14:08:49,2023-07-19 14:08:51,1.502s,PASSED
"click(findTestObject(""Object Repository/Page_ScreenPal - Welcome Back - selenium-br_82accc/button_Continue""))",Chrome 114.0.0.0,,,2023-07-19 14:08:51,2023-07-19 14:08:53,2.035s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_ScreenPal - Enter your password - sele_b05b5c/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 114.0.0.0,,,2023-07-19 14:08:53,2023-07-19 14:08:54,0.955s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_ScreenPal - Enter your password - sele_b05b5c/input_Password_password""))",Chrome 114.0.0.0,,,2023-07-19 14:08:54,2023-07-19 14:08:54,0.527s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_ScreenPal - Enter your password - sele_b05b5c/input_Password_password""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-19 14:08:54,2023-07-19 14:08:55,0.723s,PASSED
"click(findTestObject(""Object Repository/Page_ScreenPal - Enter your password - sele_b05b5c/span_Log In""))",Chrome 114.0.0.0,,,2023-07-19 14:08:55,2023-07-19 14:09:06,10.760s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_ScreenPal - Videos - selenium-broken-d_707348/img_Tina Taylor_profile-image-md""))",Chrome 114.0.0.0,,,2023-07-19 14:09:06,2023-07-19 14:09:09,3.004s,PASSED
"click(findTestObject(""Object Repository/Page_ScreenPal - Videos - selenium-broken-d_707348/img_Tina Taylor_profile-image-md""))",Chrome 114.0.0.0,,,2023-07-19 14:09:09,2023-07-19 14:09:13,3.817s,PASSED
"click(findTestObject(""Object Repository/Page_ScreenPal - Videos - selenium-broken-d_707348/a_Sign Out""))",Chrome 114.0.0.0,,,2023-07-19 14:09:13,2023-07-19 14:09:18,5.424s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-19 14:09:18,2023-07-19 14:09:21,3.339s,PASSED
